Degree_of_Shortage,Metropolitan_Indicator_Code,Metropolitan_Indicator_Desc,Percent_Pop_Below_Poverty,Geography_ID,County_Name,State_Name
,M,Metropolitan,,POINT,Berkeley,West Virginia
,N,Non-Metropolitan,,POINT,Marion,West Virginia
,N,Non-Metropolitan,,POINT,Williams,North Dakota
,N,Non-Metropolitan,,POINT,Not Determined,North Dakota
,M,Metropolitan,,POINT,Cass,North Dakota
,M,Metropolitan,,POINT,Not Determined,New York
,M,Metropolitan,,POINT,Not Determined,New York
,M,Metropolitan,,POINT,Not Determined,New York
,M,Metropolitan,,POINT,Not Determined,Nebraska
,M,Metropolitan,,POINT,St. Louis City,Missouri
,0,Unknown,,POINT,Mercer,Kentucky
,M,Metropolitan,,POINT,Meade,Kentucky
,M,Metropolitan,,POINT,Marion,Kentucky
,N,Non-Metropolitan,,POINT,Madison,Kentucky
,M,Metropolitan,,POINT,Cook,Illinois
,M,Metropolitan,,POINT,DeKalb,Georgia
,M,Metropolitan,,POINT,Arapahoe,Colorado
,M,Metropolitan,,POINT,Denver,Colorado
,M,Metropolitan,,POINT,Denver,Colorado
,M,Metropolitan,,POINT,Denver,Colorado
,M,Metropolitan,,POINT,Arapahoe,Colorado
,0,Unknown,,POINT,Denver,Colorado
,0,Unknown,,POINT,Denver,Colorado
Not applicable,N,Non-Metropolitan,0.0,72127,San Juan,Puerto Rico
Not applicable,N,Non-Metropolitan,0.0,72113,Ponce,Puerto Rico
Not applicable,N,Non-Metropolitan,0.0,55141,Wood,Wisconsin
Not applicable,N,Non-Metropolitan,0.0,55097,Portage,Wisconsin
Not applicable,M,Metropolitan,9.1,55073,Marathon,Wisconsin
Not applicable,M,Metropolitan,3.2,55131,Washington,Wisconsin
Not applicable,N,Non-Metropolitan,,55071,Manitowoc,Wisconsin
Not applicable,M,Metropolitan,4.9,55015,Calumet,Wisconsin
Not applicable,N,Non-Metropolitan,16.8,54051,Marshall,West Virginia
Not applicable,N,Non-Metropolitan,16.8,54103,Wetzel,West Virginia
Not applicable,M,Metropolitan,0.0,54053,Mason,West Virginia
Not applicable,M,Metropolitan,0.0,54011,Cabell,West Virginia
Not applicable,M,Metropolitan,0.0,54043,Lincoln,West Virginia
Not applicable,M,Metropolitan,0.0,54099,Wayne,West Virginia
Not applicable,N,Non-Metropolitan,39.2,54015,Clay,West Virginia
Not applicable,N,Non-Metropolitan,27.0,54005,Boone,West Virginia
Not applicable,M,Metropolitan,,53067,Thurston,Washington
Not applicable,N,Non-Metropolitan,0.0,50017,Orange,Vermont
Not applicable,N,Non-Metropolitan,0.0,50027,Windsor,Vermont
Not applicable,M,Metropolitan,46.2,4814191220,El Paso,Texas
Not applicable,M,Metropolitan,20.9,4814191225,El Paso,Texas
Not applicable,M,Metropolitan,29.4,4814191215,El Paso,Texas
Not applicable,N,Non-Metropolitan,28.2,4814191230,El Paso,Texas
Not applicable,N,Non-Metropolitan,22.2,48041,Brazos,Texas
Not applicable,N,Non-Metropolitan,20.4,48013,Atascosa,Texas
Not applicable,N,Non-Metropolitan,18.0,48259,Kendall,Texas
Not applicable,N,Non-Metropolitan,14.3,48473,Waller,Texas
Not applicable,N,Non-Metropolitan,20.6,48209,Hays,Texas
Not applicable,N,Non-Metropolitan,11.2,48339,Montgomery,Texas
Not applicable,N,Non-Metropolitan,11.2,48471,Walker,Texas
Not applicable,N,Non-Metropolitan,11.2,48291,Liberty,Texas
Not applicable,N,Non-Metropolitan,15.5,48365,Panola,Texas
Not applicable,N,Non-Metropolitan,15.5,48203,Harrison,Texas
Not applicable,N,Non-Metropolitan,15.5,48183,Gregg,Texas
Not applicable,N,Non-Metropolitan,17.6,48351,Newton,Texas
Not applicable,N,Non-Metropolitan,17.6,48199,Hardin,Texas
