,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
26,sg:00f6792e8a084dd7965b54d3793f4147,Dragon Palace,NH,3465,722511.0,5,12.0,"{""<5"":0,""5-20"":4,""21-60"":0,""61-240"":1,"">240"":0}",42.831216999999995,-72.184747,NH,33.0,33005.0,Cheshire County,330059708003.0
400,sg:0c68fa3725874bfd9a28fa0fbff44e45,Aroma Joe's,NH,3867,722511.0,65,7.0,"{""<5"":2,""5-20"":41,""21-60"":6,""61-240"":8,"">240"":8}",43.328176,-71.003428,NH,33.0,33017.0,Strafford County,330170846001.0
1040,sg:21520b57122c4be3bd2bab33c06bc2c8,Cristy's Pizza,NH,3842,722511.0,28,10.0,"{""<5"":1,""5-20"":22,""21-60"":3,""61-240"":0,"">240"":2}",42.904312,-70.814406,NH,33.0,33015.0,Rockingham County,330150650081.0
2240,sg:48d5e48447a04006989acd98fd020df0,St Nicholas Orthodox Church,NH,3104,813110.0,3,16.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":1,"">240"":0}",42.994937,-71.409024,NH,33.0,33011.0,Hillsborough County,330110010001.0
2965,sg:6093b45eaa564ab680b9df1fbdb5a0a1,Tire Warehouse,NH,3833,441310.0,6,35.0,"{""<5"":0,""5-20"":1,""21-60"":3,""61-240"":2,"">240"":0}",42.995528,-70.972711,NH,33.0,33015.0,Rockingham County,330150610012.0
3008,sg:61fe7ce8993d4533b6dee84781de229e,Black Paw Studio,NH,3031,448120.0,2,406.5,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":1,"">240"":1}",42.818915000000004,-71.579013,NH,33.0,33011.0,Hillsborough County,330110152004.0
3229,sg:696a278d8eaa49518a330729bbb1b960,Trinity Christian School,NH,3301,611110.0,6,97.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":4,"">240"":1}",43.190678999999996,-71.55064,NH,33.0,33013.0,Merrimack County,330130325002.0
3895,sg:8041f2fbd14c44a09f22e2ab40f94a23,Chambers Park,NH,3784,712190.0,2,16.0,"{""<5"":0,""5-20"":1,""21-60"":1,""61-240"":0,"">240"":0}",43.688478,-72.300195,NH,33.0,33009.0,Grafton County,330099617005.0
3953,sg:82736815d46947e78783f78e9fc48eb0,Brentwood School,NH,3054,611110.0,9,14.0,"{""<5"":0,""5-20"":7,""21-60"":1,""61-240"":1,"">240"":0}",42.862407,-71.49849499999999,NH,33.0,33011.0,Hillsborough County,330110141002.0
4038,sg:85eb79f13b454994b55afcc8f7e1dc1f,Linda's Breakfast Place,NH,3874,722511.0,1,12.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",42.902501,-70.867981,NH,33.0,33015.0,Rockingham County,330150630022.0
4192,sg:8c196eb575404d6babe30ad060631e2b,Studio 7 Fitness and Wellness LLC,NH,3870,713940.0,4,16.5,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":1,"">240"":0}",43.007046,-70.806669,NH,33.0,33015.0,Rockingham County,330150710003.0
4233,sg:8e2317038e1b420ebb118e8ce3a9016d,Epping Carwash,NH,3042,811192.0,2,15.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":0}",43.063053000000004,-71.014922,NH,33.0,33015.0,Rockingham County,330150590002.0
4477,sg:96e91786884d43b59cd91b00940bcb5f,All Paws & Pets Crematory,NH,3054,812910.0,4,37.0,"{""<5"":0,""5-20"":1,""21-60"":2,""61-240"":0,"">240"":1}",42.803501000000004,-71.482586,NH,33.0,33011.0,Hillsborough County,330110141004.0
4492,sg:978dafb948334685bcecded21bba3ab2,Days Inn,NH,3431,721110.0,10,210.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":4,"">240"":4}",42.924284,-72.305306,NH,33.0,33005.0,Cheshire County,330059714021.0
4580,sg:9aa0d09c1f5c488f9a7ee2e4f5d85d03,The Village Gun Store,NH,3598,451110.0,31,10.0,"{""<5"":2,""5-20"":19,""21-60"":6,""61-240"":3,"">240"":1}",44.372983000000005,-71.611568,NH,33.0,33007.0,Coos County,330079511002.0
4788,sg:a1a6fdf1d7fa4460bfda454c07aac067,Nashua Outdoor Power Equipment,NH,3031,444130.0,16,95.5,"{""<5"":0,""5-20"":5,""21-60"":3,""61-240"":5,"">240"":3}",42.810784999999996,-71.575477,NH,33.0,33011.0,Hillsborough County,330110152004.0
5007,sg:a99d54208f35480bb5d1c37cb38d9064,CRS Mechanical,NH,3301,444130.0,3,14.0,"{""<5"":0,""5-20"":3,""21-60"":0,""61-240"":0,"">240"":0}",43.204557,-71.514276,NH,33.0,33013.0,Merrimack County,330130441003.0
5171,sg:af6a4763b5ce4e4f8c199ca75aa1e7ed,J.Crew,NH,3860,448140.0,1,7.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",44.023407,-71.112576,NH,33.0,33003.0,Carroll County,330039553005.0
6117,sg:d20b3ccb9f9f49deb669e493c2789de1,Bedford Ambulatory Surgical Center,NH,3110,621111.0,9,114.0,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":2,"">240"":4}",42.96066,-71.476776,NH,33.0,33011.0,Hillsborough County,330110029022.0
6564,sg:e2a500f8e40443f8bf83e8aa2db02271,Tradesman Auto Body,NH,3076,811121.0,1,12.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",42.707982,-71.318786,NH,33.0,33011.0,Hillsborough County,330112002001.0
6584,sg:e3c704d80c8947f799b53191c9f31b17,Goodwin Park,NH,3766,712190.0,6,18.0,"{""<5"":2,""5-20"":2,""21-60"":1,""61-240"":0,"">240"":1}",43.6311,-72.246756,NH,33.0,33009.0,Grafton County,330099618005.0
6598,sg:e457667e473343169e8611c8b05ddfc2,Crow's Feet Antiques,NH,3581,453310.0,3,11.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":1,"">240"":0}",44.38637,-71.17311,NH,33.0,33007.0,Coos County,330079509002.0
6678,sg:e6d88381bbb8437aa9e4d48bff0c4e7e,Heads Pond Trail,NH,3106,712190.0,3,222.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":1,"">240"":1}",43.103034,-71.445145,NH,33.0,33013.0,Merrimack County,330130442002.0
7011,sg:f3f3e9e9532a420ca6c71dcd366e24e0,Circle K,NH,3253,445120.0,16,17.5,"{""<5"":1,""5-20"":9,""21-60"":1,""61-240"":1,"">240"":4}",43.661175,-71.493447,NH,33.0,33001.0,Belknap County,330019652002.0
7303,sg:fecb71a1d82441ae865ab5d1bfcfa22f,Pizza Chef,NH,3216,722511.0,16,18.0,"{""<5"":1,""5-20"":9,""21-60"":5,""61-240"":0,"">240"":1}",43.436411,-71.819293,NH,33.0,33013.0,Merrimack County,330130425002.0
7725,sg:0c5e0f46ae984a0792a3f893f8078605,Mobil,NH,3848,447110.0,7,5.0,"{""<5"":1,""5-20"":6,""21-60"":0,""61-240"":0,"">240"":0}",42.915203999999996,-71.059413,NH,33.0,33015.0,Rockingham County,330151051001.0
8153,sg:1a26963b7f2847ba935975cfaa9ea802,Speedway,NH,3301,447110.0,60,8.0,"{""<5"":8,""5-20"":38,""21-60"":6,""61-240"":3,"">240"":5}",43.193882,-71.527654,NH,33.0,33013.0,Merrimack County,330130322002.0
8215,sg:1c343ee73915497daba0fcec2080e5c2,Somerville Street Market,NH,3103,722511.0,22,191.5,"{""<5"":0,""5-20"":7,""21-60"":2,""61-240"":3,"">240"":10}",42.976582,-71.439915,NH,33.0,33011.0,Hillsborough County,330110018005.0
8472,sg:2445bcb5416b443cbf3074a6ea786528,Wild Meadow Canoes & Kayaks,NH,3226,441222.0,1,6.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",43.709691,-71.45996600000001,NH,33.0,33003.0,Carroll County,330039563004.0
