,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
117,sg:03facac022b94808ae2cf95fd458535e,Trombetti Al Music Center,RI,2889,451140.0,8,75.0,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":3,"">240"":2}",41.70135,-71.397909,RI,44.0,44003.0,Kent County,440030218002.0
224,sg:071c16a59e4b43759e5ddd2c6d00c287,Third Base Sports Bar and Grill,RI,2864,722511.0,11,9.0,"{""<5"":0,""5-20"":8,""21-60"":0,""61-240"":1,"">240"":2}",41.912211,-71.393075,RI,44.0,44007.0,Providence County,440070112005.0
886,sg:1c83e1acc67a455ab26b1a4b9ea3d68e,Saint Peter's Lutheran Church,RI,2840,813110.0,6,146.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":2,"">240"":2}",41.504965999999996,-71.301378,RI,44.0,44005.0,Newport County,440050406001.0
924,sg:1dfbc1e076ef4006a0f7954d60a99e47,A Child's University,RI,2910,624410.0,1,4.0,"{""<5"":1,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":0}",41.777898,-71.428678,RI,44.0,44007.0,Providence County,440070137012.0
1112,sg:23426ad23ce1449d95ab5a5485de9149,The Glow Cafe & Juice Bar,RI,2908,722515.0,28,11.0,"{""<5"":2,""5-20"":20,""21-60"":4,""61-240"":2,"">240"":0}",41.846331,-71.428903,RI,44.0,44007.0,Providence County,440070027001.0
1342,sg:2a55f0b7d14641c9b087fb255eadfc85,The Mystic's Touch Gift Shop,RI,2816,453220.0,11,78.0,"{""<5"":1,""5-20"":2,""21-60"":1,""61-240"":6,"">240"":1}",41.684919,-71.546417,RI,44.0,44003.0,Kent County,440030206043.0
1450,sg:2da017ff65794430bbb25b3b3d962c63,Roger Williams Middle,RI,2905,611110.0,7,32.0,"{""<5"":0,""5-20"":3,""21-60"":1,""61-240"":1,"">240"":2}",41.79846,-71.410742,RI,44.0,44007.0,Providence County,440070005003.0
1815,sg:39ebedc39f8f4916ba1318a2f21f2dc6,Liberty Mobility,RI,2893,621610.0,34,291.5,"{""<5"":0,""5-20"":8,""21-60"":4,""61-240"":4,"">240"":18}",41.691554,-71.520808,RI,44.0,44003.0,Kent County,440030201022.0
2035,sg:41793834ee0b4602870919c916ce8d7f,Marble Organ,RI,2889,451140.0,3,15.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":1,"">240"":0}",41.696383000000004,-71.407827,RI,44.0,44003.0,Kent County,440030217004.0
2221,sg:483bf287799847f89cbf13cd2542aef3,Roger Williams Laboratory,RI,2818,621610.0,7,28.0,"{""<5"":0,""5-20"":3,""21-60"":3,""61-240"":1,"">240"":0}",41.659817,-71.498592,RI,44.0,44003.0,Kent County,440030209031.0
2485,sg:5107139d27364506858833d522daa95f,Elite Physical Therapy,RI,2904,621340.0,1,5.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",41.832946,-71.411446,RI,44.0,44007.0,Providence County,440070031005.0
3412,sg:6f6cbecfc8a4428c83d5b02643e4b4f6,Ocean House Marina,RI,2813,,3,6.0,"{""<5"":1,""5-20"":1,""21-60"":1,""61-240"":0,"">240"":0}",41.381335,-71.644561,RI,44.0,44009.0,Washington County,440090511012.0
3752,sg:7b2d58e84a0a4859b43ca074998c56e5,Vanderbilt Internatonal Properties,RI,2840,522110.0,2,6.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":0}",41.481958,-71.31521500000001,RI,44.0,44005.0,Newport County,440050410002.0
4363,sg:9226c0f39b0846d5b2910b6bb02825bf,Barrington Beach,RI,2806,712190.0,1,20.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",41.723279999999995,-71.311709,RI,44.0,44001.0,Bristol County,440010304003.0
4792,sg:a1c0321e0fe24ea99620a6b4d64b228e,Sears Home Services,RI,2920,452210.0,2,7.5,"{""<5"":1,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",41.793918,-71.44612,RI,44.0,44007.0,Providence County,440070141004.0
4854,sg:a3d6008d1ff34ca09b77bc1d57ca668b,Panera Bread,RI,2917,722515.0,34,8.0,"{""<5"":1,""5-20"":28,""21-60"":3,""61-240"":2,"">240"":0}",41.870478000000006,-71.521411,RI,44.0,44007.0,Providence County,440070126012.0
5265,sg:b23c18884e794ad69e45f231f0dc06c3,King Wok Chinese Restaurant,RI,2895,722511.0,8,70.0,"{""<5"":0,""5-20"":3,""21-60"":0,""61-240"":5,"">240"":0}",42.00674,-71.505604,RI,44.0,44007.0,Providence County,440070180002.0
6568,sg:e2fdeb0fbdbe4af78f3200ea28720c1a,Vertikal6,RI,2886,443142.0,9,195.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":5,"">240"":2}",41.736855,-71.44114300000001,RI,44.0,44003.0,Kent County,440030211004.0
6592,sg:e40cd70fb8154298aa91f8f3a6c918b4,Energy Monster,RI,2865,444130.0,1,6.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",41.92007,-71.48402,RI,44.0,44007.0,Providence County,440070126025.0
6708,sg:e7eee37582cf44b2b2b6d7a2cbcb4f77,Rhode Island Hot Yoga Bristol,RI,2809,713940.0,23,17.0,"{""<5"":0,""5-20"":12,""21-60"":10,""61-240"":1,"">240"":0}",41.69234,-71.276723,RI,44.0,44001.0,Bristol County,440010309024.0
6772,sg:ea3411c5e68d43d3b0fd3b8ac3069d43,PC Tech Computer Store,RI,2860,443142.0,1,1112.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":1}",41.867159,-71.39925799999999,RI,44.0,44007.0,Providence County,440070164003.0
6993,sg:f37bc1baec5e46a18f275e5b966e3908,Town Fair Tire,RI,2886,441310.0,24,18.5,"{""<5"":0,""5-20"":14,""21-60"":2,""61-240"":4,"">240"":4}",41.709573,-71.49153000000001,RI,44.0,44003.0,Kent County,440030223001.0
7267,sg:fd62ebc7d49b4e79880c77eff3a0cda7,Small Axe Productions,RI,2813,451130.0,1,25.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":0,"">240"":0}",41.377499,-71.661681,RI,44.0,44009.0,Washington County,440090511012.0
7439,sg:033a1a5376c04e40965bf2c288f91325,Cranston Parkade,RI,2920,531120.0,313,21.0,"{""<5"":10,""5-20"":137,""21-60"":120,""61-240"":20,"">240"":26}",41.794488,-71.444725,RI,44.0,44007.0,Providence County,440070141004.0
